id,name,class,year,arabic,english,math,science,geo,history,computer,writing,islamic,note
2025017,وليد الهادى العيفة,الأول إعدادي,2024 / 2025,76,45,161,86,69,76,43,37,72,لا يوجد
2025018,أيمن بلعيد الساحلي,الثاني إعدادي,2024 / 2025,45,41,151,67,66,76,26,48,65,لا يوجد
2025019,يوسف سليمان الشريف,الأول إعدادي,2024 / 2025,77,56,97,89,46,73,26,47,34,لا يوجد
2025020,ماجد رمضان الكزة,الثالث إعدادي,2024 / 2025,79,31,120,46,62,69,45,37,76,لا يوجد
2025021,معاذ صابر العباني,الثاني إعدادي,2024 / 2025,65,64,89,36,60,58,42,34,37,لا يوجد
2025022,حمزة صالح القطعاني,الأول إعدادي,2024 / 2025,78,78,108,81,63,58,34,24,82,لا يوجد
2025023,نادر عطية المسلمي,الثاني إعدادي,2024 / 2025,67,32,114,79,39,62,32,43,80,لا يوجد
2025024,فادي نوري بشير,الثاني إعدادي,2024 / 2025,78,42,114,61,35,77,39,22,92,لا يوجد
2025025,حسن رمضان الكزة,الثالث إعدادي,2024 / 2025,65,35,196,40,44,57,37,36,89,لا يوجد
2025026,رنا رمضان الكزة,الثاني إعدادي,2024 / 2025,48,31,112,58,31,44,32,46,69,لا يوجد
2025027,بدر خالد الفيتوري,الثاني إعدادي,2024 / 2025,48,33,83,86,37,61,40,29,71,لا يوجد
2025028,بدر الطاهر المبروك,الأول إعدادي,2024 / 2025,77,48,137,46,35,68,41,24,82,لا يوجد
2025029,قاسم رمضان العوامي,الأول إعدادي,2024 / 2025,72,43,86,73,62,58,21,44,39,لا يوجد
2025030,عيسى نوري الفرد,الأول إعدادي,2024 / 2025,62,71,127,50,68,33,46,36,87,لا يوجد
2025031,مريم عبدالمجيد التركي,الثالث إعدادي,2024 / 2025,84,44,172,85,74,71,36,30,91,لا يوجد
2025032,محمد الطاهر المبروك,الثالث إعدادي,2024 / 2025,65,33,167,35,54,47,48,20,66,لا يوجد
2025033,رقية خليفة الجطلاوي,الأول إعدادي,2024 / 2025,54,54,130,76,74,60,24,28,71,لا يوجد
2025034,عائشة فرج الكوافي,الثاني إعدادي,2024 / 2025,83,44,198,50,78,51,26,30,71,لا يوجد
2025035,حمزة رمضان الدوادي,الثاني إعدادي,2024 / 2025,56,76,82,63,41,58,22,32,69,لا يوجد
2025036,عائشة رمضان الكزة,الثاني إعدادي,2024 / 2025,57,78,139,53,70,73,26,18,51,لا يوجد
2025037,هدى الطاهر المبروك,الأول إعدادي,2024 / 2025,58,66,90,38,28,45,40,41,80,لا يوجد
2025038,فادي خليفة المشرقي,الثالث إعدادي,2024 / 2025,66,67,84,34,43,45,41,27,85,لا يوجد
2025039,زياد الهادى بن عيسى,الأول إعدادي,2024 / 2025,91,80,150,79,41,66,29,47,77,لا يوجد
2025040,وليد حسن بوزيد,الثاني إعدادي,2024 / 2025,60,33,134,48,66,66,37,35,74,لا يوجد
2025041,موسى صابر العباني,الأول إعدادي,2024 / 2025,81,42,167,94,61,75,28,41,85,لا يوجد
2025042,حسن جمال أبوحجر,الأول إعدادي,2024 / 2025,78,28,136,34,50,46,26,36,76,لا يوجد
2025043,عيسى عبدالرحمن العرفي,الأول إعدادي,2024 / 2025,86,57,149,39,80,45,29,28,47,لا يوجد
2025044,عيسى عمر العلواني,الثالث إعدادي,2024 / 2025,95,50,111,83,57,44,39,25,93,لا يوجد
2025045,رنا بلعيد الساحلي,الثالث إعدادي,2024 / 2025,47,60,89,51,42,38,29,22,77,لا يوجد
2025046,موسى صالح القطعاني,الأول إعدادي,2024 / 2025,52,42,173,64,68,70,42,21,35,لا يوجد
2025047,مالك محمد التومي,الثالث إعدادي,2024 / 2025,36,54,76,56,74,44,24,28,36,لا يوجد
2025048,نادر نوري الفرد,الثاني إعدادي,2024 / 2025,45,33,80,35,38,71,26,30,52,لا يوجد
2025049,مريم رمضان الكزة,الأول إعدادي,2024 / 2025,66,39,136,43,64,47,39,38,70,لا يوجد
2025050,حسين ونيس التومي,الثالث إعدادي,2024 / 2025,42,28,108,58,44,69,18,30,58,لا يوجد
2025051,هدى خليفة المشرقي,الثالث إعدادي,2024 / 2025,79,69,194,47,41,59,39,42,96,لا يوجد
2025052,غسان موسى المجبري,الثاني إعدادي,2024 / 2025,84,32,155,75,37,38,42,17,87,لا يوجد
2025053,رقية نوري الفرد,الأول إعدادي,2024 / 2025,66,75,86,66,37,32,45,20,91,لا يوجد
2025054,ليث سعد العنيزي,الثالث إعدادي,2024 / 2025,60,54,127,95,52,51,42,28,44,لا يوجد
2025055,أمير عبدالرحمن العرفي,الأول إعدادي,2024 / 2025,41,48,100,46,60,42,43,30,91,لا يوجد
2025056,غسان فتح الله بن خليفة,الثاني إعدادي,2024 / 2025,63,37,151,91,74,67,40,47,75,لا يوجد
2025057,طارق ونيس التومي,الثالث إعدادي,2024 / 2025,81,71,144,60,55,54,17,45,54,لا يوجد
2025058,ماجد منصور خالد,الثالث إعدادي,2024 / 2025,87,64,133,74,29,29,17,37,84,لا يوجد
2025059,عبدالله بلعيد الساحلي,الأول إعدادي,2024 / 2025,85,74,135,60,75,60,34,29,42,لا يوجد
2025060,حمزة سعد العنيزي,الثالث إعدادي,2024 / 2025,78,49,187,59,67,70,17,34,82,لا يوجد
2025061,كمال خالد الفيتوري,الأول إعدادي,2024 / 2025,50,33,193,73,67,59,45,38,53,لا يوجد
2025062,هند جابر النفاثي,الثاني إعدادي,2024 / 2025,34,59,70,78,47,28,38,26,50,لا يوجد
2025063,جمال المختار الغزولي,الثاني إعدادي,2024 / 2025,42,59,188,34,31,78,33,48,85,لا يوجد
2025064,سلمى جمال أبوحجر,الثالث إعدادي,2024 / 2025,76,77,153,68,63,68,32,30,83,لا يوجد
2025065,فاطمة منصور خالد,الأول إعدادي,2024 / 2025,83,44,95,82,36,67,46,35,44,لا يوجد
2025066,سلمى رمضان الكزة,الأول إعدادي,2024 / 2025,77,74,148,56,68,60,43,38,61,لا يوجد
2025067,نور محمد التومي,الثاني إعدادي,2024 / 2025,57,33,154,64,37,54,43,45,46,لا يوجد
2025068,عامر رمضان العوامي,الثالث إعدادي,2024 / 2025,81,67,179,38,49,58,36,28,60,لا يوجد
2025069,رنا نوري الفرد,الثالث إعدادي,2024 / 2025,45,35,157,45,50,65,39,35,51,لا يوجد
2025070,عامر منصور خالد,الأول إعدادي,2024 / 2025,40,51,123,75,53,61,47,46,75,لا يوجد
2025071,ليث عبدالرحمن العرفي,الأول إعدادي,2024 / 2025,83,67,107,88,59,64,17,45,49,لا يوجد
2025072,معاذ خليفة المشرقي,الأول إعدادي,2024 / 2025,86,62,129,64,29,61,32,17,57,لا يوجد
2025073,فادي عبدالله شنيب,الثالث إعدادي,2024 / 2025,44,78,183,84,57,77,21,27,67,لا يوجد
2025074,تامر منصور خالد,الثالث إعدادي,2024 / 2025,60,73,199,72,67,54,42,24,42,لا يوجد
2025075,نورة فرج الكوافي,الثالث إعدادي,2024 / 2025,44,52,187,35,47,59,37,48,83,لا يوجد
2025076,سلمى فتح الله بن خليفة,الثاني إعدادي,2024 / 2025,85,38,113,54,66,79,32,23,50,لا يوجد
2025077,غسان عبدالله التواتي,الأول إعدادي,2024 / 2025,74,73,103,88,80,66,43,42,42,لا يوجد
2025078,محمد زكريا الحويج,الأول إعدادي,2024 / 2025,35,34,195,93,28,49,45,20,43,لا يوجد
2025079,إيمان صابر العباني,الثاني إعدادي,2024 / 2025,44,53,138,43,74,61,35,29,58,لا يوجد
2025080,سامي نوري بشير,الثاني إعدادي,2024 / 2025,55,69,71,37,54,75,33,42,70,لا يوجد
2025081,مريم سليمان الشريف,الثاني إعدادي,2024 / 2025,34,57,94,87,75,79,17,26,39,لا يوجد
2025082,سامي فتح الله بن خليفة,الثاني إعدادي,2024 / 2025,46,63,191,65,51,40,39,27,81,لا يوجد
2025083,عائشة عبدالرحمن العرفي,الأول إعدادي,2024 / 2025,59,71,148,50,72,80,48,46,46,لا يوجد
2025084,ماجد جمال أبوحجر,الأول إعدادي,2024 / 2025,62,66,134,60,64,31,30,37,39,لا يوجد
2025085,أدم موسى المجبري,الثالث إعدادي,2024 / 2025,95,28,114,54,56,79,44,34,94,لا يوجد
2025086,أيمن مفتاح المريمي,الأول إعدادي,2024 / 2025,57,68,130,39,67,69,26,25,67,لا يوجد
2025087,أمير خالد الفيتوري,الثالث إعدادي,2024 / 2025,81,42,151,77,29,79,21,45,95,لا يوجد
2025088,غسان سليمان الشريف,الثالث إعدادي,2024 / 2025,75,62,119,47,31,59,28,32,51,لا يوجد
2025089,آمنة عبدالله التواتي,الثالث إعدادي,2024 / 2025,71,46,185,53,38,58,26,28,95,لا يوجد
2025090,زياد عبدالرحمن العرفي,الأول إعدادي,2024 / 2025,55,37,140,96,72,57,19,35,64,لا يوجد
2025091,بدر سعد العنيزي,الأول إعدادي,2024 / 2025,58,32,97,93,42,57,31,27,47,لا يوجد
2025092,سامي حسن بوزيد,الثالث إعدادي,2024 / 2025,39,71,161,58,52,77,44,18,37,لا يوجد
2025093,إبراهيم نوري الفرد,الثالث إعدادي,2024 / 2025,37,47,154,79,46,52,30,47,92,لا يوجد
2025094,فادي الهادى بن عيسى,الأول إعدادي,2024 / 2025,57,47,82,59,37,42,18,37,39,لا يوجد
2025095,معاذ الهادى بن عيسى,الأول إعدادي,2024 / 2025,88,64,85,69,69,47,18,26,47,لا يوجد
2025096,رقية عبدالسلام العكاري,الثالث إعدادي,2024 / 2025,91,66,197,80,42,34,41,26,90,لا يوجد
2025097,ياسين محمد التومي,الأول إعدادي,2024 / 2025,86,51,184,84,31,40,42,23,63,لا يوجد
2025098,أمير نوري الفرد,الثاني إعدادي,2024 / 2025,55,73,94,68,67,61,45,18,64,لا يوجد
2025099,مصطفى رمضان الكزة,الثاني إعدادي,2024 / 2025,52,44,117,95,33,59,20,25,75,لا يوجد
2025100,احمد محمد المبروك,الأول إعدادي,2024 / 2025,65,40,99,96,54,65,31,26,88,لا يوجد
2025101,سلمى منصور خالد,الثاني إعدادي,2024 / 2025,92,38,143,50,65,79,37,37,94,لا يوجد
2025102,آمنة بلعيد الساحلي,الثالث إعدادي,2024 / 2025,88,72,80,88,54,59,48,27,42,لا يوجد
2025103,معاذ خالد الفيتوري,الثاني إعدادي,2024 / 2025,59,75,141,83,67,38,35,47,91,لا يوجد
2025104,ناصر محمد التومي,الثالث إعدادي,2024 / 2025,36,73,144,77,48,32,28,19,80,لا يوجد
2025105,ملاك عمر السعيطي,الثاني إعدادي,2024 / 2025,72,58,172,50,46,31,26,19,43,لا يوجد
2025106,خالد موسى المجبري,الثالث إعدادي,2024 / 2025,61,73,186,81,72,56,43,46,84,لا يوجد
2025107,سالم فرج الكوافي,الثاني إعدادي,2024 / 2025,35,43,194,36,53,79,41,46,83,لا يوجد
2025108,هاني جمال أبوحجر,الأول إعدادي,2024 / 2025,60,44,150,87,62,78,41,48,34,لا يوجد
2025109,غسان ونيس التومي,الثاني إعدادي,2024 / 2025,46,60,101,45,62,38,44,31,81,لا يوجد
2025110,حسن ونيس التومي,الأول إعدادي,2024 / 2025,41,41,146,45,43,76,17,34,77,لا يوجد
2025111,سامي السنوسي أبوسن,الثاني إعدادي,2024 / 2025,92,80,105,87,49,72,37,24,36,لا يوجد
2025112,آمنة فرج الكوافي,الثالث إعدادي,2024 / 2025,79,58,108,71,29,65,30,25,38,لا يوجد
2025113,هدى نوري بشير,الثاني إعدادي,2024 / 2025,77,32,171,78,72,54,25,40,50,لا يوجد
2025114,تامر المختار الغزولي,الأول إعدادي,2024 / 2025,36,76,135,34,28,64,30,39,62,لا يوجد
2025115,سامي زكريا الحويج,الثاني إعدادي,2024 / 2025,66,80,107,37,51,47,25,44,63,لا يوجد
2025116,ليث جمال أبوحجر,الثاني إعدادي,2024 / 2025,63,46,146,55,60,80,27,37,76,لا يوجد
2025117,احمد إدريس الفاخري,الثاني إعدادي,2024 / 2025,82,31,144,36,80,63,20,48,63,لا يوجد
2025118,معاذ رمضان العوامي,الأول إعدادي,2024 / 2025,51,75,121,37,56,38,41,47,67,لا يوجد
2025119,تامر عمر السعيطي,الأول إعدادي,2024 / 2025,40,52,120,96,67,54,27,41,51,لا يوجد
2025120,منى صابر العباني,الأول إعدادي,2024 / 2025,88,70,163,43,32,33,22,40,42,لا يوجد
2025121,منى عبدالمجيد التركي,الثاني إعدادي,2024 / 2025,49,60,132,63,67,71,33,46,92,لا يوجد
2025122,ناصر الهادى العيفة,الثاني إعدادي,2024 / 2025,72,53,151,76,56,51,46,45,40,لا يوجد
2025123,حسين المهدي أرحومة,الثالث إعدادي,2024 / 2025,64,60,185,60,54,48,46,39,80,لا يوجد
2025124,هشام خليفة الجطلاوي,الأول إعدادي,2024 / 2025,36,73,73,63,73,74,26,46,49,لا يوجد
2025125,خالد الصديق بوشيبة,الثاني إعدادي,2024 / 2025,65,53,94,78,52,71,27,19,61,لا يوجد
2025126,طارق عبدالله شنيب,الأول إعدادي,2024 / 2025,93,33,123,67,28,72,46,37,80,لا يوجد
2025127,رنا زكريا الحويج,الثالث إعدادي,2024 / 2025,59,53,75,47,73,41,32,30,38,لا يوجد
2025128,هند المختار الغزولي,الأول إعدادي,2024 / 2025,46,39,104,91,61,63,38,26,89,لا يوجد
2025129,وليد عبدالقادر الهواري,الثالث إعدادي,2024 / 2025,63,68,190,59,35,75,44,48,87,لا يوجد
2025130,أدم سليمان الشريف,الثالث إعدادي,2024 / 2025,83,33,98,45,41,56,18,38,44,لا يوجد
2025131,منى فرج المجري,الثالث إعدادي,2024 / 2025,70,80,72,38,71,46,42,33,93,لا يوجد
2025132,أمل خليفة الجطلاوي,الأول إعدادي,2024 / 2025,54,32,107,44,49,77,22,39,92,لا يوجد
2025133,هند صالح القطعاني,الثاني إعدادي,2024 / 2025,61,54,74,55,73,73,35,19,60,لا يوجد
2025134,يوسف فرج الكوافي,الأول إعدادي,2024 / 2025,89,69,93,65,64,69,18,32,56,لا يوجد
2025135,يوسف نوري الفرد,الأول إعدادي,2024 / 2025,50,74,102,49,40,62,44,26,87,لا يوجد
2025136,رقية خليفة المشرقي,الثاني إعدادي,2024 / 2025,74,32,162,75,63,38,25,21,52,لا يوجد
2025137,أمير خليفة الجطلاوي,الثاني إعدادي,2024 / 2025,34,35,102,74,37,44,37,44,38,لا يوجد
2025138,أيمن جابر النفاثي,الثاني إعدادي,2024 / 2025,87,69,104,66,43,48,22,44,46,لا يوجد
2025139,سارة جمال أبوحجر,الثالث إعدادي,2024 / 2025,83,64,130,75,76,34,36,37,64,لا يوجد
2025140,عيسى إسماعيل القزيري,الثالث إعدادي,2024 / 2025,37,39,110,53,64,51,29,38,62,لا يوجد
2025141,نورة عطية المسلمي,الثالث إعدادي,2024 / 2025,93,67,179,90,52,74,31,42,96,لا يوجد
2025142,أمل موسى المجبري,الثاني إعدادي,2024 / 2025,88,79,194,93,47,80,44,26,42,لا يوجد
2025143,حمزة نصر الداقل,الأول إعدادي,2024 / 2025,39,72,94,81,71,52,32,30,89,لا يوجد
2025144,عيسى عبدالمجيد التركي,الأول إعدادي,2024 / 2025,52,65,92,72,34,73,40,41,57,لا يوجد
2025145,كمال مفتاح المريمي,الثالث إعدادي,2024 / 2025,64,51,111,63,55,55,41,29,51,لا يوجد
2025146,زياد فتح الله بن خليفة,الثالث إعدادي,2024 / 2025,94,56,173,60,60,43,25,41,75,لا يوجد
2025147,تامر فرج الكوافي,الأول إعدادي,2024 / 2025,44,42,175,78,65,41,29,32,51,لا يوجد
2025148,نورة جمال أبوحجر,الأول إعدادي,2024 / 2025,90,46,177,53,75,56,45,34,91,لا يوجد
2025149,آمنة الهادى بن عيسى,الأول إعدادي,2024 / 2025,95,77,98,44,51,65,42,38,74,لا يوجد
2025150,هند فرج المجري,الثاني إعدادي,2024 / 2025,72,58,75,69,39,39,30,35,58,لا يوجد
2025151,عامر عبدالقادر الهواري,الأول إعدادي,2024 / 2025,63,78,185,41,68,42,27,40,57,لا يوجد
2025152,زياد محمد المبروك,الثالث إعدادي,2024 / 2025,36,39,75,69,59,54,29,37,34,لا يوجد
2025153,إيمان عبدالمجيد التركي,الأول إعدادي,2024 / 2025,65,45,113,77,80,44,43,23,60,لا يوجد
2025154,أيمن فتح الله بن خليفة,الثاني إعدادي,2024 / 2025,86,63,187,58,77,60,20,17,86,لا يوجد
2025155,هند عبدالقادر الهواري,الثالث إعدادي,2024 / 2025,45,73,200,90,48,75,25,21,48,لا يوجد
2025156,موسى زكريا الحويج,الثاني إعدادي,2024 / 2025,92,62,168,37,69,55,28,19,67,لا يوجد
2025157,حمزة محمد المبروك,الثالث إعدادي,2024 / 2025,71,28,161,58,39,65,32,24,85,لا يوجد
2025158,إيمان بلعيد الساحلي,الأول إعدادي,2024 / 2025,54,77,178,67,65,57,25,25,36,لا يوجد
2025159,ملاك مفتاح المريمي,الأول إعدادي,2024 / 2025,87,31,98,53,76,52,31,37,43,لا يوجد
2025160,علي سليمان الشريف,الثاني إعدادي,2024 / 2025,45,73,190,67,31,49,36,35,42,لا يوجد
2025161,أمير محمد المبروك,الثالث إعدادي,2024 / 2025,78,71,115,95,42,51,45,21,68,لا يوجد
2025162,آمنة عبدالقادر الهواري,الأول إعدادي,2024 / 2025,64,36,108,56,74,74,48,24,73,لا يوجد
2025163,خديجة السنوسي أبوسن,الثالث إعدادي,2024 / 2025,74,66,96,73,73,73,21,24,55,لا يوجد
2025164,كريمة جابر النفاثي,الأول إعدادي,2024 / 2025,40,54,117,77,37,36,43,41,54,لا يوجد
2025165,غسان خالد الفيتوري,الثالث إعدادي,2024 / 2025,41,41,164,50,61,53,24,25,64,لا يوجد
2025166,رنا السنوسي أبوسن,الثاني إعدادي,2024 / 2025,49,41,104,77,43,43,42,20,68,لا يوجد
2025167,مصطفى ونيس التومي,الثاني إعدادي,2024 / 2025,66,43,78,63,60,58,34,44,77,لا يوجد
2025168,أمل بلعيد الساحلي,الثاني إعدادي,2024 / 2025,42,74,149,87,35,46,36,36,44,لا يوجد
2025169,ماجد الهادى بن عيسى,الأول إعدادي,2024 / 2025,64,29,195,91,46,76,48,28,81,لا يوجد
2025170,إيمان فتحي العبيدي,الثالث إعدادي,2024 / 2025,74,76,195,63,73,78,40,37,68,لا يوجد
2025171,هدى فتح الله بن خليفة,الثالث إعدادي,2024 / 2025,96,38,147,74,39,64,43,21,69,لا يوجد
2025172,ملاك حسن بوزيد,الثاني إعدادي,2024 / 2025,91,68,193,71,61,70,20,25,61,لا يوجد
2025173,نورة عبدالمجيد التركي,الثالث إعدادي,2024 / 2025,75,65,196,65,37,41,35,19,55,لا يوجد
2025174,احمد المختار الغزولي,الأول إعدادي,2024 / 2025,54,46,87,38,54,42,23,22,86,لا يوجد
2025175,خديجة الصديق بوشيبة,الأول إعدادي,2024 / 2025,34,35,72,81,43,50,33,36,64,لا يوجد
2025176,وليد عمر العلواني,الثاني إعدادي,2024 / 2025,79,46,197,52,74,29,22,45,86,لا يوجد
2025177,فادي جمعة العاتي,الأول إعدادي,2024 / 2025,75,30,170,45,36,56,44,23,43,لا يوجد
2025178,نادر رمضان الكزة,الأول إعدادي,2024 / 2025,49,72,170,91,53,44,38,30,57,لا يوجد
2025179,أمير السنوسي أبوسن,الأول إعدادي,2024 / 2025,52,76,108,84,41,62,24,24,88,لا يوجد
2025180,طارق حسن بوزيد,الأول إعدادي,2024 / 2025,74,45,128,93,30,68,28,44,87,لا يوجد
2025181,ناصر خالد الفيتوري,الأول إعدادي,2024 / 2025,50,42,124,66,33,73,46,18,78,لا يوجد
2025182,زياد عبدالسلام العكاري,الأول إعدادي,2024 / 2025,49,30,194,64,61,42,22,33,81,لا يوجد
2025183,مالك جمعة العاتي,الأول إعدادي,2024 / 2025,88,66,118,71,41,54,26,28,88,لا يوجد
2025184,فاطمة الصديق بوشيبة,الثالث إعدادي,2024 / 2025,48,66,84,34,72,31,34,18,62,لا يوجد
2025185,مصطفى فتح الله بن خليفة,الثالث إعدادي,2024 / 2025,85,74,98,70,69,57,26,40,34,لا يوجد
2025186,فاطمة إسماعيل القزيري,الثاني إعدادي,2024 / 2025,64,44,171,47,44,56,29,48,65,لا يوجد
2025187,هشام ونيس التومي,الثالث إعدادي,2024 / 2025,44,36,157,77,80,39,39,38,36,لا يوجد
2025188,نورة صابر العباني,الثاني إعدادي,2024 / 2025,51,66,145,53,79,70,48,48,38,لا يوجد
2025189,شادي بلعيد الساحلي,الثاني إعدادي,2024 / 2025,52,44,165,92,69,64,32,44,73,لا يوجد
2025190,رقية فتحي العبيدي,الثاني إعدادي,2024 / 2025,89,59,168,82,58,80,27,20,67,لا يوجد
2025191,منى صالح الحضيري,الثاني إعدادي,2024 / 2025,94,32,74,78,78,42,43,30,74,لا يوجد
2025192,حسين فتحي العبيدي,الثالث إعدادي,2024 / 2025,65,68,185,56,75,76,41,47,53,لا يوجد
2025193,هشام سعد العنيزي,الثاني إعدادي,2024 / 2025,37,39,123,39,49,49,48,45,56,لا يوجد
2025194,حسين عبدالله شنيب,الثالث إعدادي,2024 / 2025,75,69,188,55,53,80,48,40,46,لا يوجد
2025195,فادي عمر السعيطي,الثالث إعدادي,2024 / 2025,48,60,151,95,42,28,38,38,74,لا يوجد
2025196,طارق نوري الفرد,الثالث إعدادي,2024 / 2025,36,41,90,65,44,46,42,22,77,لا يوجد
2025197,إبراهيم علي بودهيم,الثاني إعدادي,2024 / 2025,64,44,198,78,36,79,46,36,95,لا يوجد
2025198,هدى عبدالسلام شقلوف,الثاني إعدادي,2024 / 2025,51,48,185,94,29,80,21,22,63,لا يوجد
2025199,شادي صالح الحضيري,الثالث إعدادي,2024 / 2025,69,65,170,93,80,76,26,21,71,لا يوجد
2025200,نور رمضان الكزة,الثالث إعدادي,2024 / 2025,35,78,137,76,70,42,41,36,39,لا يوجد
2025201,غسان الطاهر المبروك,الثالث إعدادي,2024 / 2025,62,72,89,78,79,73,47,41,56,لا يوجد
2025202,فاطمة صالح القطعاني,الثاني إعدادي,2024 / 2025,47,80,151,38,34,30,42,19,89,لا يوجد
2025203,ماجد صالح الحضيري,الأول إعدادي,2024 / 2025,63,52,115,46,78,46,37,42,63,لا يوجد
2025204,ليث رمضان الكزة,الأول إعدادي,2024 / 2025,81,59,91,80,40,66,35,41,85,لا يوجد
2025205,خالد نصر الداقل,الثالث إعدادي,2024 / 2025,74,65,135,36,80,36,18,33,91,لا يوجد
2025206,علي الطاهر المبروك,الثاني إعدادي,2024 / 2025,66,68,178,35,61,46,48,28,65,لا يوجد
2025207,ملاك خليفة المشرقي,الثاني إعدادي,2024 / 2025,89,30,179,44,46,37,25,30,34,لا يوجد
2025208,مالك الصديق بوشيبة,الأول إعدادي,2024 / 2025,86,59,174,54,70,78,24,39,57,لا يوجد
2025209,تامر الطاهر المبروك,الثاني إعدادي,2024 / 2025,90,58,87,63,32,32,27,22,59,لا يوجد
2025210,أيمن عبدالسلام شقلوف,الثالث إعدادي,2024 / 2025,54,74,94,79,71,71,32,48,47,لا يوجد
2025211,ياسين عبدالسلام شقلوف,الأول إعدادي,2024 / 2025,69,62,146,68,40,60,22,23,86,لا يوجد
2025212,كريمة جمعة العاتي,الثالث إعدادي,2024 / 2025,36,69,113,91,39,48,43,44,60,لا يوجد
2025213,معاذ علي بودهيم,الثالث إعدادي,2024 / 2025,82,55,184,68,36,40,25,27,58,لا يوجد
2025214,إبراهيم الهادى بن عيسى,الثاني إعدادي,2024 / 2025,65,68,190,83,71,78,20,47,73,لا يوجد
2025215,آمنة فتح الله بن خليفة,الأول إعدادي,2024 / 2025,64,58,171,86,67,44,36,39,75,لا يوجد
2025216,جمال رمضان الدوادي,الثالث إعدادي,2024 / 2025,80,59,75,71,33,78,28,47,89,لا يوجد
2025217,وليد فتحي العبيدي,الثاني إعدادي,2024 / 2025,63,31,76,62,67,30,26,28,86,لا يوجد
2025218,معاذ عبدالله التواتي,الثاني إعدادي,2024 / 2025,63,50,144,39,54,39,41,43,96,لا يوجد
2025219,مصطفى محمد التومي,الأول إعدادي,2024 / 2025,91,54,182,76,30,67,21,35,44,لا يوجد
2025220,سلمى فرج المجري,الثالث إعدادي,2024 / 2025,50,36,194,72,48,49,45,45,67,لا يوجد
2025221,عائشة صالح القطعاني,الثالث إعدادي,2024 / 2025,57,43,128,75,35,58,31,26,35,لا يوجد
2025222,ليث الصديق بوشيبة,الأول إعدادي,2024 / 2025,45,60,111,39,65,54,30,21,38,لا يوجد
2025223,نادر فرج الكوافي,الثاني إعدادي,2024 / 2025,50,36,129,71,43,35,38,31,57,لا يوجد
2025224,مصطفى سليمان الشريف,الثالث إعدادي,2024 / 2025,52,53,127,71,74,31,38,30,72,لا يوجد
2025225,سامي سعد العنيزي,الثالث إعدادي,2024 / 2025,39,71,94,35,30,28,35,33,63,لا يوجد
2025226,إبراهيم فتحي العبيدي,الثالث إعدادي,2024 / 2025,41,73,200,89,36,32,44,48,53,لا يوجد
2025227,سارة عبدالله التواتي,الثالث إعدادي,2024 / 2025,50,80,97,59,66,57,40,38,65,لا يوجد
2025228,ملاك عبدالله شنيب,الثاني إعدادي,2024 / 2025,60,47,148,83,43,38,19,32,63,لا يوجد
2025229,محمد عبدالله التواتي,الثالث إعدادي,2024 / 2025,51,56,179,60,52,56,18,47,94,لا يوجد
2025230,سارة خليفة الجطلاوي,الثاني إعدادي,2024 / 2025,52,31,119,88,39,51,28,33,91,لا يوجد
2025231,رنا إدريس الفاخري,الثاني إعدادي,2024 / 2025,58,55,103,71,36,59,27,24,92,لا يوجد
2025232,آمنة صالح القطعاني,الأول إعدادي,2024 / 2025,78,44,99,94,51,28,39,23,72,لا يوجد
